algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
MMC_Supervised,wine,(178|13|3),0,0,0.7202797202797203,0.7095238095238096,0.7202426564495529,0.7113083213083214
LSML_Supervised,wine,(178|13|3),0,0,0.7342657342657343,0.8108129315756435,0.7071428571428572,0.6838181426416722
ITML_Supervised,wine,(178|13|3),0,0,0.9020979020979021,0.9145047230153613,0.8929292929292929,0.8996973511093732
NCA,wine,(178|13|3),0,0,0.7062937062937062,0.6995923136202054,0.717207011112384,0.7020721526535478
MLKR,wine,(178|13|3),0,0,0.6783216783216783,0.6970085470085471,0.6700695924941537,0.6787168930323536
LFDA,wine,(178|13|3),0,0,0.8321678321678322,0.848269660034366,0.8504550475576019,0.843000358037952
LMNN,wine,(178|13|3),0,0,0.8041958041958042,0.8028300094966762,0.8142011138128481,0.8029160886303743
NCA,ionosphere,(351|34|2),0,0,0.8220640569395018,0.8821825396825397,0.7615982181660148,0.7815609452736318
LMNN,ionosphere,(351|34|2),0,0,0.8505338078291815,0.868581514762516,0.8119567579313343,0.8283595113438045
MMC_Supervised,soybean,(150|4|3),0,0,0.975,0.9772727272727272,0.9722222222222222,0.9737425404944586
LSML_Supervised,soybean,(150|4|3),0,0,0.975,0.9755892255892257,0.9742300439974859,0.9748071169894507
ITML_Supervised,soybean,(150|4|3),0,0,0.975,0.9757936507936508,0.975609756097561,0.9756061282165699
NCA,soybean,(150|4|3),0,0,0.9666666666666667,0.9682539682539683,0.9682539682539683,0.9666666666666668
MLKR,soybean,(150|4|3),0,0,0.95,0.9488095238095239,0.948005698005698,0.9466571834992887
LFDA,soybean,(150|4|3),0,0,0.9666666666666667,0.9653499653499654,0.9653499653499654,0.9649122807017543
LMNN,soybean,(150|4|3),0,0,0.9583333333333334,0.9587077449721866,0.9587077449721866,0.9578059071729959
MMC_Supervised,iris,(150|4|3),0,0,0.9833333333333333,0.983739837398374,0.9841269841269842,0.9835365853658536
LSML_Supervised,iris,(150|4|3),0,0,0.975,0.975609756097561,0.9729729729729729,0.9732572651096453
ITML_Supervised,iris,(150|4|3),0,0,0.9583333333333334,0.9597069597069597,0.9597069597069597,0.9588477366255144
NCA,iris,(150|4|3),0,0,0.9583333333333334,0.9581699346405229,0.9562770562770563,0.9571188188677198
MLKR,iris,(150|4|3),0,0,0.9166666666666666,0.9136302294197032,0.913963963963964,0.9134053081421504
LFDA,iris,(150|4|3),0,0,0.9833333333333333,0.9844961240310077,0.982905982905983,0.9832915622389308
LMNN,iris,(150|4|3),0,0,0.9666666666666667,0.9663504968383018,0.9651372019793073,0.9653153153153152
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9058823529411765,0.9041666666666667,0.9073348264277715,0.9052396878483835
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.5294117647058824,0.5305555555555556,0.5304878048780488,0.5293466223698782
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.9673913043478262,0.9642857142857143,0.9646275488972118
NCA,poisoned_synthetic,(106|2|2),0,0,0.5058823529411764,0.5092592592592593,0.5080287929125138,0.49
MLKR,poisoned_synthetic,(106|2|2),0,0,0.7058823529411765,0.7179054054054055,0.7179054054054055,0.7058823529411764
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9764705882352941,0.9791666666666667,0.9743589743589743,0.9762038073908175
LMNN,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.47861150070126224,0.4829227323628219,0.4414285714285714
MMC_Supervised,wine,(178|13|3),0,0,0.6783216783216783,0.7290962361956277,0.6472641509433963,0.6445993260304319
LSML_Supervised,wine,(178|13|3),0,0,0.7412587412587412,0.7441991794974007,0.7434365487016046,0.7360237596086652
ITML_Supervised,wine,(178|13|3),0,0,0.916083916083916,0.9316239316239315,0.9056435394670689,0.9123234552948761
NCA,wine,(178|13|3),0,0,0.7202797202797203,0.7096560846560847,0.7224319857615052,0.7098676869121632
MLKR,wine,(178|13|3),0,0,0.6293706293706294,0.6871765010351968,0.6739865090496227,0.6195286195286195
LFDA,wine,(178|13|3),0,0,0.965034965034965,0.9688095238095237,0.9657735247208931,0.9672072072072071
LMNN,wine,(178|13|3),0,0,0.8391608391608392,0.8398182420029491,0.8304402515723271,0.831443964285168
NCA,ionosphere,(351|34|2),0,0,0.8042704626334519,0.792716049382716,0.764413962306234,0.7745671485041644
LMNN,ionosphere,(351|34|2),0,0,0.8647686832740213,0.8824775353016687,0.8263774783656479,0.8437792602996255
MMC_Supervised,soybean,(150|4|3),0,0,0.9583333333333334,0.9612403100775193,0.9603174603174603,0.9583268218992552
LSML_Supervised,soybean,(150|4|3),0,0,0.9416666666666667,0.9426699426699426,0.941656466748266,0.9420689655172415
ITML_Supervised,soybean,(150|4|3),0,0,0.9583333333333334,0.9583333333333334,0.9599832390530065,0.9582746570698378
NCA,soybean,(150|4|3),0,0,0.9583333333333334,0.9572649572649573,0.9574561403508772,0.9572579319414762
MLKR,soybean,(150|4|3),0,0,0.9583333333333334,0.9587542087542088,0.9574690970039806,0.9580118616490841
LFDA,soybean,(150|4|3),0,0,0.9833333333333333,0.9828042328042329,0.9828042328042329,0.9828042328042329
LMNN,soybean,(150|4|3),0,0,0.975,0.9759969028261711,0.9759969028261711,0.9759036144578314
MMC_Supervised,iris,(150|4|3),0,0,0.95,0.952468380252958,0.9517704517704518,0.950609756097561
LSML_Supervised,iris,(150|4|3),0,0,0.9,0.9130434782608695,0.9047619047619048,0.8944444444444445
ITML_Supervised,iris,(150|4|3),0,0,0.925,0.9411764705882352,0.9318181818181818,0.9297672519395671
NCA,iris,(150|4|3),0,0,0.975,0.9749679075738126,0.9745726495726496,0.9746673080006413
MLKR,iris,(150|4|3),0,0,0.975,0.9749679075738126,0.9745726495726496,0.9746673080006413
LFDA,iris,(150|4|3),0,0,0.975,0.975609756097561,0.9761904761904763,0.974996093139553
LMNN,iris,(150|4|3),0,0,0.9666666666666667,0.9682539682539683,0.9674796747967479,0.9662393162393164
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9294117647058824,0.9289297658862876,0.9289297658862876,0.9289297658862876
