"0.1% noise vehicle to 4 t=1","0.524","0.525","0.043","0.052","0.515","0.517","0.042","0.049","0.53","0.531","0.042","0.05","0.516","0.517","0.041","0.049","7074.3","133.634","6396.9","1477.737","78790.6","1333.45","71115.6","17137.199","1.213","0.592"
"0.2% noise vehicle to 2 t=1","0.49","0.49","0.035","0.035","0.485","0.485","0.036","0.036","0.496","0.496","0.036","0.036","0.481","0.481","0.033","0.033","7159.5","74.035","7159.5","74.035","78158.4","841.008","78158.4","841.008","0.659","0.05"
"0.2% noise vehicle to 4 t=1","0.521","0.503","0.038","0.045","0.512","0.496","0.039","0.045","0.527","0.508","0.038","0.042","0.511","0.494","0.037","0.043","7153.3","77.996","5848.7","1886.45","77958.2","865.027","63362.3","20608.465","1.121","0.253"
"0.3% noise vehicle to 2 t=1","0.491","0.483","0.059","0.066","0.486","0.48","0.054","0.06","0.494","0.487","0.059","0.066","0.483","0.476","0.058","0.064","7143.2","231.305","6578.0","1076.424","78319.7","874.517","72346.4","12048.828","0.8","0.209"
"0.3% noise vehicle to 4 t=1","0.522","0.515","0.031","0.034","0.515","0.51","0.028","0.029","0.526","0.518","0.032","0.033","0.513","0.509","0.031","0.032","7130.6","220.035","6386.2","1383.683","78245.8","786.243","71015.7","14706.383","1.005","0.267"
"0.1% noise german_credit to 2 t=1","0.687","0.687","0.009","0.009","0.587","0.587","0.053","0.053","0.523","0.523","0.013","0.013","0.486","0.486","0.019","0.019","4593.4","695.805","4593.4","695.805","111450.6","722.785","111450.6","722.785","0.503","0.098"
"0.1% noise german_credit to 4 t=1","0.683","0.683","0.022","0.022","0.566","0.567","0.067","0.066","0.524","0.524","0.023","0.023","0.49","0.49","0.04","0.04","4578.1","691.94","4503.3","778.49","111461.8","767.279","108461.4","8912.061","0.87","0.795"
"0.2% noise german_credit to 2 t=1","0.683","0.683","0.017","0.017","0.564","0.564","0.046","0.046","0.519","0.519","0.013","0.013","0.48","0.48","0.022","0.022","4457.8","531.327","4457.8","531.327","110260.0","1436.774","110260.0","1436.774","0.456","0.065"
"0.2% noise german_credit to 4 t=1","0.678","0.683","0.027","0.023","0.562","0.573","0.069","0.067","0.521","0.524","0.025","0.025","0.488","0.49","0.034","0.033","4464.7","534.43","4387.0","399.939","109946.3","1701.67","107097.6","9131.873","0.635","0.159"
"0.3% noise german_credit to 2 t=1","0.695","0.696","0.008","0.008","0.589","0.589","0.032","0.033","0.526","0.525","0.01","0.012","0.489","0.487","0.017","0.02","4413.5","335.4","4212.1","424.44","110218.5","1302.123","105334.7","11650.866","0.566","0.162"
"0.3% noise german_credit to 4 t=1","0.687","0.686","0.01","0.011","0.56","0.557","0.056","0.049","0.521","0.523","0.019","0.02","0.486","0.491","0.03","0.034","4397.5","331.064","4145.0","595.094","109862.1","1308.124","102055.9","11998.852","1.369","1.222"
"0.1% noise image_segment to 2 t=1","0.137","0.13","0.045","0.051","0.117","0.132","0.042","0.059","0.142","0.135","0.048","0.054","0.111","0.108","0.036","0.038","4744.4","16.716","4621.2","369.445","4696.2","238.925","4330.0","1070.283","0.499","0.11"
"0.1% noise image_segment to 4 t=1","0.141","0.133","0.044","0.05","0.152","0.112","0.058","0.046","0.142","0.132","0.04","0.049","0.122","0.11","0.037","0.04","4664.7","26.623","2809.1","1866.248","4649.4","186.425","2776.4","1851.847","0.757","0.158"
"0.2% noise image_segment to 2 t=1","0.147","0.149","0.04","0.057","0.145","0.137","0.052","0.058","0.147","0.145","0.037","0.047","0.126","0.118","0.027","0.035","4749.2","19.889","3924.7","1331.721","4710.5","214.575","4051.2","1277.548","0.563","0.159"
"0.2% noise image_segment to 4 t=1","0.15","0.144","0.068","0.074","0.16","0.142","0.063","0.069","0.15","0.143","0.063","0.072","0.12","0.115","0.049","0.052","4665.6","19.174","3573.1","1660.015","4699.7","163.392","3584.3","1754.223","0.723","0.149"
"0.3% noise image_segment to 2 t=1","0.149","0.146","0.051","0.047","0.127","0.134","0.074","0.078","0.146","0.142","0.048","0.047","0.109","0.109","0.048","0.046","4745.3","21.038","4255.8","1062.765","4592.5","252.014","4552.1","334.778","0.55","0.155"
"0.3% noise image_segment to 4 t=1","0.15","0.143","0.052","0.057","0.126","0.121","0.067","0.058","0.154","0.146","0.058","0.062","0.12","0.119","0.046","0.049","4664.1","18.371","3309.5","1681.043","4663.0","189.848","3248.1","1660.207","0.751","0.182"
"0.1% noise isolet to 2 t=1","0.291","0.26","0.006","0.045","0.291","0.263","0.006","0.045","0.291","0.261","0.006","0.045","0.286","0.256","0.007","0.045","45911.9","1471.249","29804.1","20177.351","1770.7","22.931","1153.6","777.125","6.698","1.695"
"0.1% noise isolet to 4 t=1","0.466","0.411","0.116","0.138","0.464","0.408","0.116","0.139","0.467","0.411","0.116","0.137","0.457","0.402","0.114","0.137","45752.0","1517.229","21139.3","19400.532","1775.9","17.801","836.6","782.637","7.669","1.452"
"0.2% noise isolet to 2 t=1","0.287","0.284","0.008","0.013","0.286","0.283","0.008","0.012","0.289","0.285","0.007","0.012","0.282","0.278","0.007","0.012","46187.1","1315.69","42423.9","12000.264","1767.0","17.63","1613.2","451.307","6.047","1.04"
"0.2% noise isolet to 4 t=1","0.528","0.506","0.014","0.03","0.526","0.506","0.012","0.028","0.529","0.507","0.013","0.029","0.52","0.499","0.014","0.029","46119.5","1401.15","29848.3","20210.284","1758.8","14.743","1135.3","761.98","7.244","1.521"
"0.3% noise isolet to 2 t=1","0.287","0.254","0.006","0.053","0.287","0.256","0.006","0.052","0.288","0.255","0.005","0.054","0.282","0.25","0.006","0.053","46360.7","1157.121","30946.2","19341.712","1772.0","19.718","1182.5","727.51","7.029","1.607"
"0.3% noise isolet to 4 t=1","0.505","0.481","0.089","0.089","0.501","0.478","0.091","0.09","0.505","0.482","0.089","0.088","0.496","0.473","0.09","0.089","46124.4","1084.55","27295.6","19260.987","1751.5","17.845","1050.3","736.08","7.399","1.655"
