algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
MLKR,iris,(150|4|3),0,0.3,0.9466666666666667,0.9555555555555556,0.9487179487179488,0.9484126984126983
LFDA,iris,(150|4|3),0,0,0.9733333333333334,0.9761904761904763,0.9743589743589745,0.974320987654321
LFDA,iris,(150|4|3),0,0.1,0.96,0.9655172413793104,0.9615384615384616,0.9614100185528757
LFDA,iris,(150|4|3),0,0.2,0.9733333333333334,0.9733333333333333,0.9733333333333333,0.9733333333333333
LFDA,iris,(150|4|3),0,0.3,0.9733333333333334,0.9720279720279721,0.9720279720279721,0.9720279720279721
LMNN,iris,(150|4|3),0,0,0.9466666666666667,0.9480952380952381,0.9521739130434783,0.9492337164750957
LMNN,iris,(150|4|3),0,0.1,0.96,0.9591097308488613,0.9618599791013583,0.960233918128655
LMNN,iris,(150|4|3),0,0.2,0.96,0.9615384615384616,0.9655172413793104,0.9614100185528757
LMNN,iris,(150|4|3),0,0.3,0.9733333333333334,0.9736024844720497,0.9736024844720497,0.9736024844720497
MMC_Supervised,wine,(178|13|3),0,0,0.7078651685393258,0.7112391193036355,0.7207631874298541,0.7078695951935389
MMC_Supervised,wine,(178|13|3),0,0.1,0.8202247191011236,0.8036244800950683,0.841189674523008,0.8123931623931623
MMC_Supervised,wine,(178|13|3),0,0.2,0.8426966292134831,0.8588177961242976,0.8398692810457516,0.8381353102250718
MMC_Supervised,wine,(178|13|3),0,0.3,0.9213483146067416,0.9259066319374876,0.9193061840120663,0.921058858325939
LSML_Supervised,wine,(178|13|3),0,0,0.7752808988764045,0.782822689799434,0.7556818181818182,0.7571688784803539
LSML_Supervised,wine,(178|13|3),0,0.1,0.8089887640449438,0.8263448437867043,0.7992063492063491,0.8059787769932697
LSML_Supervised,wine,(178|13|3),0,0.2,0.8539325842696629,0.8558582621082621,0.8409563409563411,0.8367981081229722
LSML_Supervised,wine,(178|13|3),0,0.3,0.7528089887640449,0.7808123249299719,0.768843558928948,0.7533510579372993
ITML_Supervised,wine,(178|13|3),0,0,0.9438202247191011,0.9444637950385076,0.9475997295469911,0.9458465641862257
ITML_Supervised,wine,(178|13|3),0,0.1,0.9550561797752809,0.9578214578214578,0.954491341991342,0.9555772781579234
ITML_Supervised,wine,(178|13|3),0,0.2,0.9662921348314607,0.969047619047619,0.965945637514265,0.9673131762959489
ITML_Supervised,wine,(178|13|3),0,0.3,0.9325842696629213,0.9416666666666668,0.935344827586207,0.93820440388237
NCA,wine,(178|13|3),0,0,0.7303370786516854,0.7257242419514225,0.7341269841269842,0.7260055754679411
NCA,wine,(178|13|3),0,0.1,0.7303370786516854,0.7110860860860861,0.7087301587301588,0.7003367003367004
NCA,wine,(178|13|3),0,0.2,0.7078651685393258,0.7041181041181042,0.7232679738562092,0.7102410027783163
NCA,wine,(178|13|3),0,0.3,0.6629213483146067,0.638888888888889,0.6464550264550265,0.6403065134099617
MLKR,wine,(178|13|3),0,0,0.7752808988764045,0.7643738977072311,0.7675070028011205,0.7592163617644729
MLKR,wine,(178|13|3),0,0.1,0.6629213483146067,0.6349749202006384,0.6504515599343185,0.6143097643097644
MLKR,wine,(178|13|3),0,0.2,0.6404494382022472,0.6103896103896104,0.6224611708482676,0.6005575509522219
MLKR,wine,(178|13|3),0,0.3,0.7640449438202247,0.7412919896640826,0.7342857142857143,0.7331111134186906
LFDA,wine,(178|13|3),0,0,1.0,1.0,1.0,1.0
