algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,avg_accuracy,avg_precision,avg_recall,avg_f1,std_accuracy,std_precision,std_recall,std_f1
EUCLIDEAN,german_credit,(1000|24|2),24,0,0.687,0.602,0.575,0.576,0.022,0.028,0.009,0.009
LPTML,german_credit,(1000|24|2),24,0.1,0.708,0.631,0.594,0.595,0.032,0.056,0.043,0.058
EUCLIDEAN,german_credit,(1000|24|2),24,0.1,0.682,0.591,0.559,0.555,0.03,0.051,0.033,0.04
LPTML,german_credit,(1000|24|2),24,0.2,0.687,0.62,0.593,0.591,0.048,0.057,0.05,0.063
EUCLIDEAN,german_credit,(1000|24|2),24,0.2,0.683,0.619,0.582,0.579,0.02,0.04,0.03,0.036
LPTML,german_credit,(1000|24|2),24,0.3,0.71,0.637,0.609,0.615,0.023,0.024,0.017,0.019
EUCLIDEAN,german_credit,(1000|24|2),24,0.3,0.683,0.597,0.58,0.581,0.024,0.019,0.023,0.027
LPTML,isolet,(7797|617|26),10,0,0.476,0.483,0.472,0.467,0.145,0.146,0.149,0.148
EUCLIDEAN,isolet,(7797|617|26),10,0,0.586,0.587,0.582,0.576,0.127,0.129,0.131,0.131
LPTML,isolet,(7797|617|26),10,0.1,0.638,0.645,0.64,0.635,0.061,0.061,0.061,0.061
EUCLIDEAN,isolet,(7797|617|26),10,0.1,0.69,0.697,0.692,0.687,0.035,0.034,0.035,0.034
LPTML,isolet,(7797|617|26),10,0.2,0.589,0.599,0.587,0.581,0.099,0.098,0.102,0.103
EUCLIDEAN,isolet,(7797|617|26),10,0.2,0.605,0.612,0.602,0.596,0.083,0.084,0.086,0.087
LPTML,isolet,(7797|617|26),10,0.3,0.529,0.537,0.531,0.523,0.128,0.123,0.126,0.127
EUCLIDEAN,isolet,(7797|617|26),10,0.3,0.578,0.59,0.58,0.573,0.14,0.132,0.137,0.139
LPTML,letters,(20000|16|26),10,0,0.757,0.762,0.758,0.758,0.237,0.235,0.237,0.237
EUCLIDEAN,letters,(20000|16|26),10,0,0.849,0.853,0.849,0.847,0.133,0.127,0.133,0.137
LPTML,letters,(20000|16|26),10,0.1,0.7,0.707,0.7,0.696,0.169,0.164,0.169,0.172
EUCLIDEAN,letters,(20000|16|26),10,0.1,0.75,0.755,0.75,0.747,0.164,0.163,0.164,0.168
LPTML,letters,(20000|16|26),10,0.2,0.843,0.846,0.843,0.843,0.086,0.085,0.087,0.087
EUCLIDEAN,letters,(20000|16|26),10,0.2,0.909,0.91,0.909,0.909,0.008,0.007,0.008,0.008
LPTML,mnist,(4000|784|10),10,0,0.245,0.265,0.244,0.247,0.071,0.071,0.071,0.07
EUCLIDEAN,mnist,(4000|784|10),10,0,0.256,0.282,0.256,0.256,0.07,0.066,0.069,0.07
LPTML,mnist,(4000|784|10),10,0.1,0.263,0.287,0.259,0.263,0.124,0.121,0.123,0.124
EUCLIDEAN,mnist,(4000|784|10),10,0.1,0.267,0.298,0.263,0.27,0.15,0.137,0.147,0.146
LPTML,mnist,(4000|784|10),10,0.2,0.246,0.27,0.249,0.248,0.053,0.057,0.052,0.054
EUCLIDEAN,mnist,(4000|784|10),10,0.2,0.26,0.278,0.264,0.26,0.064,0.065,0.063,0.064
LPTML,mnist,(4000|784|10),10,0.3,0.27,0.278,0.272,0.27,0.196,0.182,0.195,0.189
EUCLIDEAN,mnist,(4000|784|10),10,0.3,0.298,0.305,0.298,0.296,0.213,0.202,0.21,0.206
