algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
LFDA,breast_cancer,(699|9|2),2,0.3,0.96,0.95,0.96875,0.9575551782682513
LFDA,breast_cancer,(699|9|2),4,0,0.9657142857142857,0.9508455302446719,0.9726933579477712,0.960609243697479
LFDA,breast_cancer,(699|9|2),4,0.1,0.9628571428571429,0.9637127578304049,0.9548601198972309,0.9590278340582254
LFDA,breast_cancer,(699|9|2),4,0.2,0.9714285714285714,0.9706666666666667,0.9674093428904347,0.9689980158730158
LFDA,breast_cancer,(699|9|2),4,0.3,0.9714285714285714,0.9620535714285714,0.9763661601402689,0.9685432844406097
LMNN,breast_cancer,(699|9|2),2,0,0.9657142857142857,0.959563120981882,0.963491010904804,0.9614834378782875
LMNN,breast_cancer,(699|9|2),2,0.1,0.9657142857142857,0.9555555555555556,0.9699937639851803,0.9621061748890253
LMNN,breast_cancer,(699|9|2),2,0.2,0.96,0.9524475524475524,0.9617470739366258,0.9567458776173159
LMNN,breast_cancer,(699|9|2),2,0.3,0.9742857142857143,0.9702499215727283,0.9747677364864865,0.9724214009928296
LMNN,breast_cancer,(699|9|2),4,0,0.9742857142857143,0.9720748600058945,0.9700487876453542,0.9710507209749014
LMNN,breast_cancer,(699|9|2),4,0.1,0.9742857142857143,0.9713463507644504,0.9729662698412698,0.9721463246412181
LMNN,breast_cancer,(699|9|2),4,0.2,0.98,0.974979149291076,0.9826100773277779,0.9785499785499785
LMNN,breast_cancer,(699|9|2),4,0.3,0.9771428571428571,0.9728353140916808,0.9786734013820197,0.9756004043361568
RCA_Supervised,vehicle,(846|18|4),2,0,0.46335697399527187,0.48390392668525317,0.47024734371819327,0.4618160853801829
RCA_Supervised,vehicle,(846|18|4),2,0.1,0.4515366430260047,0.45367568899884714,0.4483959608959609,0.4451046664159869
RCA_Supervised,vehicle,(846|18|4),2,0.2,0.4846335697399527,0.48802292168311134,0.48349276027404126,0.4830599629786029
RCA_Supervised,vehicle,(846|18|4),2,0.3,0.4491725768321513,0.4503150694016223,0.44931972789115643,0.4415050117840469
RCA_Supervised,vehicle,(846|18|4),4,0,0.508274231678487,0.513490198166403,0.5205596928942517,0.5070294379745599
RCA_Supervised,vehicle,(846|18|4),4,0.1,0.5366430260047281,0.5392069515481495,0.5341489875292504,0.5301348627130754
RCA_Supervised,vehicle,(846|18|4),4,0.2,0.5130023640661938,0.5373755704638058,0.5270703933747412,0.5183535345067035
RCA_Supervised,vehicle,(846|18|4),4,0.3,0.508274231678487,0.5307080400158242,0.5077207200405666,0.5111608979256038
MMC_Supervised,vehicle,(846|18|4),2,0,0.48699763593380613,0.48115831800311815,0.49731302402342703,0.48131729947076124
MMC_Supervised,vehicle,(846|18|4),2,0.1,0.48936170212765956,0.49757492295963146,0.4971543441938179,0.49122172785623486
MMC_Supervised,vehicle,(846|18|4),2,0.2,0.508274231678487,0.507653956613488,0.5094712860317911,0.4992572845982779
MMC_Supervised,vehicle,(846|18|4),2,0.3,0.47044917257683216,0.46668512043512045,0.4731516338988583,0.4676319524155914
MMC_Supervised,vehicle,(846|18|4),4,0,0.557919621749409,0.5572366836846079,0.5582287445554028,0.5469349082724473
MMC_Supervised,vehicle,(846|18|4),4,0.1,0.47044917257683216,0.46630335332000883,0.4810836321164711,0.46711233841734257
MMC_Supervised,vehicle,(846|18|4),4,0.2,0.5319148936170213,0.5307547719824988,0.5353968169680786,0.5291250333408565
MMC_Supervised,vehicle,(846|18|4),4,0.3,0.524822695035461,0.5117675338517831,0.5264655823010328,0.5111268590370757
LSML_Supervised,vehicle,(846|18|4),2,0,0.35933806146572106,0.3565515099805007,0.36173122964327886,0.3534785551343352
LSML_Supervised,vehicle,(846|18|4),2,0.1,0.3735224586288416,0.3715422310553072,0.3795692908380639,0.361855205339832
LSML_Supervised,vehicle,(846|18|4),2,0.2,0.37115839243498816,0.3730072655300935,0.3888707662664019,0.35760218495818125
LSML_Supervised,vehicle,(846|18|4),2,0.3,0.3640661938534279,0.37935193268895984,0.3756071328052752,0.35345768718554915
LSML_Supervised,vehicle,(846|18|4),4,0,0.5200945626477541,0.5299080573270356,0.524465403412501,0.5190195861662337
LSML_Supervised,vehicle,(846|18|4),4,0.1,0.42080378250591016,0.42047319916760373,0.4266067008734978,0.4219393420787865
LSML_Supervised,vehicle,(846|18|4),4,0.2,0.47044917257683216,0.4711649894497646,0.47153832838444226,0.4702479017535651
LSML_Supervised,vehicle,(846|18|4),4,0.3,0.44680851063829785,0.4504416175611828,0.4470101718752555,0.4458732318091659
ITML_Supervised,vehicle,(846|18|4),2,0,0.39243498817966904,0.38248866558706923,0.3936243837937763,0.3843336234909866
ITML_Supervised,vehicle,(846|18|4),2,0.1,0.3546099290780142,0.3534817091726002,0.3580234049207809,0.3483511794649149
ITML_Supervised,vehicle,(846|18|4),2,0.2,0.3309692671394799,0.3381887755102041,0.33881964247118784,0.32202518420227694
ITML_Supervised,vehicle,(846|18|4),2,0.3,0.37115839243498816,0.3756104106934789,0.38161868930999593,0.3511631856002717
ITML_Supervised,vehicle,(846|18|4),4,0,0.47044917257683216,0.4814366407482533,0.4818578340545473,0.4596905691450932
ITML_Supervised,vehicle,(846|18|4),4,0.1,0.43498817966903075,0.44140806727708065,0.4409039018414018,0.4315492269829122
ITML_Supervised,vehicle,(846|18|4),4,0.2,0.48936170212765956,0.4878411627076768,0.49289825773590384,0.48447762374132686
ITML_Supervised,vehicle,(846|18|4),4,0.3,0.40189125295508277,0.4219316191460648,0.4046679130367743,0.4052357730106606
NCA,vehicle,(846|18|4),2,0,0.5106382978723404,0.5066463572595408,0.5139384713112503,0.5046144227093157
NCA,vehicle,(846|18|4),2,0.1,0.5035460992907801,0.4984222319563313,0.5066899299133566,0.4919123325005678
NCA,vehicle,(846|18|4),2,0.2,0.5011820330969267,0.5006523391924718,0.5170991643024155,0.4991329606426438
NCA,vehicle,(846|18|4),2,0.3,0.4444444444444444,0.4444436261359439,0.4552791348365187,0.43903145332098104
NCA,vehicle,(846|18|4),4,0,0.5508274231678487,0.5547127544174314,0.5550435188631084,0.5487961340382203
NCA,vehicle,(846|18|4),4,0.1,0.44680851063829785,0.4584221392702257,0.4561392012140443,0.4379462771108192
NCA,vehicle,(846|18|4),4,0.2,0.5295508274231678,0.5553490589663077,0.5268669713137949,0.5285084489757387
NCA,vehicle,(846|18|4),4,0.3,0.5390070921985816,0.546850740873092,0.5557890718761328,0.5401340347292419
MLKR,vehicle,(846|18|4),2,0,0.5106382978723404,0.5145432633951794,0.5122685564761692,0.5009978821784232
MLKR,vehicle,(846|18|4),2,0.1,0.524822695035461,0.526069838399071,0.5234280305498715,0.5194135581061693
MLKR,vehicle,(846|18|4),2,0.2,0.5177304964539007,0.5153864275259624,0.524835897061279,0.5150571523461723
MLKR,vehicle,(846|18|4),2,0.3,0.5011820330969267,0.49727122043044814,0.4976118420747133,0.49562801474242246
MLKR,vehicle,(846|18|4),4,0,0.5697399527186762,0.5692713549200697,0.5806009371516362,0.5687774136438546
MLKR,vehicle,(846|18|4),4,0.1,0.5791962174940898,0.5693587589938411,0.5806446367206677,0.5653231026737343
MLKR,vehicle,(846|18|4),4,0.2,0.5106382978723404,0.5084821428571429,0.5190388804890341,0.5009433784347975
MLKR,vehicle,(846|18|4),4,0.3,0.5673758865248227,0.5507707856061775,0.5727399685651402,0.5548661764889992
LFDA,vehicle,(846|18|4),2,0,0.5224586288416075,0.5285805231909955,0.5218609692718944,0.5207353820842302
LFDA,vehicle,(846|18|4),2,0.1,0.5390070921985816,0.5371897075357316,0.5456836323673089,0.5331343101378838
LFDA,vehicle,(846|18|4),2,0.2,0.5059101654846335,0.5017845529390881,0.5075593136236701,0.5013126135230971
LFDA,vehicle,(846|18|4),2,0.3,0.5295508274231678,0.5296490584623254,0.5342238916874144,0.5269711733638314
LFDA,vehicle,(846|18|4),4,0,0.5768321513002365,0.5653365078612732,0.5747674767476747,0.5663474554597885
LFDA,vehicle,(846|18|4),4,0.1,0.541371158392435,0.5474318899826969,0.5451022463731315,0.5401206033091099
LFDA,vehicle,(846|18|4),4,0.2,0.5791962174940898,0.5762147526617281,0.5911819479253689,0.5751111879460463
LFDA,vehicle,(846|18|4),4,0.3,0.5815602836879432,0.5649019998818385,0.5942268883077193,0.5750255814202009
LMNN,vehicle,(846|18|4),2,0,0.48226950354609927,0.49221064814814813,0.49281488950963676,0.4760076122927362
LMNN,vehicle,(846|18|4),2,0.1,0.5011820330969267,0.4846259374428389,0.5071773443524579,0.4879436137272326
LMNN,vehicle,(846|18|4),2,0.2,0.541371158392435,0.5544030835719216,0.5407481785914441,0.5389206402145278
LMNN,vehicle,(846|18|4),2,0.3,0.4940898345153664,0.47262276895813077,0.4938270393256614,0.470172644451872
LMNN,vehicle,(846|18|4),4,0,0.5390070921985816,0.5321920473098039,0.5411197953583361,0.5335692396057745
LMNN,vehicle,(846|18|4),4,0.1,0.5650118203309693,0.5665278143791477,0.571501939667651,0.56151580443886
LMNN,vehicle,(846|18|4),4,0.2,0.5791962174940898,0.5711779202038942,0.5824202758026287,0.5753137115188207
LMNN,vehicle,(846|18|4),4,0.3,0.557919621749409,0.5397998704488408,0.5680106811652881,0.5478079723134746
RCA_Supervised,german_credit,(1000|24|2),2,0,0.668,0.5643623219424032,0.5534680653509552,0.5549502402196294
RCA_Supervised,german_credit,(1000|24|2),2,0.1,0.65,0.5489388766151169,0.5431387205917066,0.5440784914469126
RCA_Supervised,german_credit,(1000|24|2),2,0.2,0.66,0.5407439782439782,0.5338962508080155,0.5339912280701754
RCA_Supervised,german_credit,(1000|24|2),2,0.3,0.636,0.5313216743119267,0.5156698221457258,0.48926903735632177
RCA_Supervised,german_credit,(1000|24|2),4,0,0.726,0.671037296037296,0.6326778550036729,0.6412692261365481
RCA_Supervised,german_credit,(1000|24|2),4,0.1,0.716,0.6511647324037739,0.6030664718495607,0.6085048192505349
RCA_Supervised,german_credit,(1000|24|2),4,0.2,0.724,0.6599067599067598,0.6316799754299754,0.6395662257882531
RCA_Supervised,german_credit,(1000|24|2),4,0.3,0.724,0.6759840014544133,0.6433118661632985,0.6515433096315448
MMC_Supervised,german_credit,(1000|24|2),2,0,0.63,0.5055555555555555,0.503890016888366,0.4943116898736599
MMC_Supervised,german_credit,(1000|24|2),2,0.1,0.648,0.5353649893692417,0.5234973912715903,0.5147665365358742
MMC_Supervised,german_credit,(1000|24|2),2,0.2,0.676,0.5682926829268293,0.5491573033707865,0.5481020285197831
MMC_Supervised,german_credit,(1000|24|2),2,0.3,0.63,0.5081680565405591,0.5065152933832708,0.5026641074030463
MMC_Supervised,german_credit,(1000|24|2),4,0,0.654,0.5882233913395386,0.5865471869328494,0.5873071913511038
MMC_Supervised,german_credit,(1000|24|2),4,0.1,0.714,0.6532501889644746,0.6222052701964551,0.6293012717817906
MMC_Supervised,german_credit,(1000|24|2),4,0.2,0.718,0.6442260321213913,0.6137445361826129,0.620949400777457
MMC_Supervised,german_credit,(1000|24|2),4,0.3,0.704,0.6376113007966794,0.6170136055712632,0.622787700840062
LSML_Supervised,german_credit,(1000|24|2),2,0,0.654,0.5442961165048543,0.5304749615742235,0.5244090851610136
LSML_Supervised,german_credit,(1000|24|2),2,0.1,0.656,0.5245527217358203,0.5148571867321867,0.5020727668542578
LSML_Supervised,german_credit,(1000|24|2),2,0.2,0.646,0.5212411825315051,0.5156835205992509,0.5105927634089287
LSML_Supervised,german_credit,(1000|24|2),2,0.3,0.662,0.49938712972420835,0.4997097747852333,0.47384479355413167
LSML_Supervised,german_credit,(1000|24|2),4,0,0.656,0.5616153300862089,0.5519261528974195,0.5530145530145529
LSML_Supervised,german_credit,(1000|24|2),4,0.1,0.688,0.5968138226202743,0.5706191825171996,0.5723684210526316
LSML_Supervised,german_credit,(1000|24|2),4,0.2,0.68,0.6001012518409425,0.5828571428571429,0.5862554045387782
LSML_Supervised,german_credit,(1000|24|2),4,0.3,0.714,0.646969696969697,0.6205567984091473,0.6274469958680484
ITML_Supervised,german_credit,(1000|24|2),2,0,0.654,0.5495595038156693,0.5313431723315444,0.5216528139533597
ITML_Supervised,german_credit,(1000|24|2),2,0.1,0.664,0.5889595038531209,0.5524197195838987,0.5420746200309645
ITML_Supervised,german_credit,(1000|24|2),2,0.2,0.664,0.53680173992674,0.5252970335982374,0.5197914522878507
ITML_Supervised,german_credit,(1000|24|2),2,0.3,0.69,0.620538801527406,0.5741912798874824,0.5714230414032992
ITML_Supervised,german_credit,(1000|24|2),4,0,0.694,0.6163227016885554,0.6052200374531835,0.6091175253307173
ITML_Supervised,german_credit,(1000|24|2),4,0.1,0.684,0.616751269035533,0.5902361388703827,0.5934206192358367
ITML_Supervised,german_credit,(1000|24|2),4,0.2,0.716,0.6496867594265469,0.6219812998336488,0.6291188700139995
ITML_Supervised,german_credit,(1000|24|2),4,0.3,0.726,0.6638436990917409,0.6409321253071254,0.6483121550506996
NCA,german_credit,(1000|24|2),2,0,0.636,0.5340014508718665,0.5233405263837401,0.5146666666666666
NCA,german_credit,(1000|24|2),2,0.1,0.636,0.4883937437934459,0.49282094594594594,0.47648195876288657
NCA,german_credit,(1000|24|2),2,0.2,0.652,0.5452214452214452,0.5381619324887875,0.5384517443340973
NCA,german_credit,(1000|24|2),2,0.3,0.634,0.5035435861091424,0.5023809523809524,0.4910304547350855
NCA,german_credit,(1000|24|2),4,0,0.656,0.5577674756840287,0.5495864544319601,0.5507637017070979
NCA,german_credit,(1000|24|2),4,0.1,0.686,0.6016858100329999,0.5757142857142857,0.5779365668231259
NCA,german_credit,(1000|24|2),4,0.2,0.688,0.5872868659484911,0.5738070821017072,0.5771532656778559
NCA,german_credit,(1000|24|2),4,0.3,0.688,0.6089455033042812,0.5866666666666667,0.5904737903225806
MLKR,german_credit,(1000|24|2),2,0,0.63,0.5100218161985275,0.5088677082704952,0.5079761062558843
MLKR,german_credit,(1000|24|2),2,0.1,0.634,0.5272368506178431,0.5252822483785732,0.5256093198326413
MLKR,german_credit,(1000|24|2),2,0.2,0.618,0.4939156567149473,0.4952400223545509,0.4893020818293146
MLKR,german_credit,(1000|24|2),2,0.3,0.646,0.5567943712918239,0.549047619047619,0.5499366860083706
MLKR,german_credit,(1000|24|2),4,0,0.706,0.6407103825136612,0.6329903066042281,0.6362088507664362
MLKR,german_credit,(1000|24|2),4,0.1,0.71,0.6378919141914192,0.6022581693722633,0.608055142586836
MLKR,german_credit,(1000|24|2),4,0.2,0.71,0.6541958041958043,0.6228389444949954,0.6295558246598301
MLKR,german_credit,(1000|24|2),4,0.3,0.704,0.6252802337590367,0.5958451369216242,0.6010437557956482
LFDA,german_credit,(1000|24|2),2,0,0.662,0.5651477025955672,0.5347426470588235,0.5184389443269828
LFDA,german_credit,(1000|24|2),2,0.1,0.642,0.5364035087719298,0.5330815679866079,0.5336574283942704
LFDA,german_credit,(1000|24|2),2,0.2,0.674,0.57145172220749,0.5461904761904762,0.5412043526477858
LFDA,german_credit,(1000|24|2),2,0.3,0.638,0.5276360544217688,0.5227294803302575,0.5211412183648958
LFDA,german_credit,(1000|24|2),4,0,0.75,0.7125741003590215,0.6443965517241379,0.6563649459255879
LFDA,german_credit,(1000|24|2),4,0.1,0.728,0.6688056699549851,0.6342857142857143,0.6429771505376345
LFDA,german_credit,(1000|24|2),4,0.2,0.72,0.6676819981724033,0.6230992844364938,0.6305756686580397
LFDA,german_credit,(1000|24|2),4,0.3,0.76,0.6977697408077155,0.6634647960302118,0.6747332812906583
LMNN,german_credit,(1000|24|2),2,0,0.664,0.5639324001182192,0.5451526594432532,0.5420746200309645
LMNN,german_credit,(1000|24|2),2,0.1,0.674,0.5820413436692506,0.5550187414062647,0.5518998894869667
LMNN,german_credit,(1000|24|2),2,0.2,0.644,0.5303647621186359,0.5174569800254524,0.5004938936781609
LMNN,german_credit,(1000|24|2),2,0.3,0.66,0.5269001395761959,0.5164073988081418,0.5046620046620046
LMNN,german_credit,(1000|24|2),4,0,0.744,0.68625,0.644145190000774,0.6549567617692093
LMNN,german_credit,(1000|24|2),4,0.1,0.718,0.66625,0.62348888600026,0.630795334928856
LMNN,german_credit,(1000|24|2),4,0.2,0.73,0.6765343055665636,0.6263233514821537,0.6350858224084336
LMNN,german_credit,(1000|24|2),4,0.3,0.72,0.6514767932489451,0.6210710913260489,0.6286393345216874
RCA_Supervised,image_segment,(210|19|7),2,0,0.5238095238095238,0.5217047731864185,0.5311313999283923,0.5202261362975649
RCA_Supervised,image_segment,(210|19|7),2,0.2,0.49523809523809526,0.5005851991146109,0.5205651491365777,0.49188956463706185
RCA_Supervised,image_segment,(210|19|7),2,0.3,0.5428571428571428,0.550233131530124,0.5147394990384818,0.5149057946679191
RCA_Supervised,image_segment,(210|19|7),4,0,0.7333333333333333,0.7610858988904485,0.7428321328531412,0.7176416047383789
RCA_Supervised,image_segment,(210|19|7),4,0.1,0.7047619047619048,0.6236911431239163,0.7172619047619048,0.6622758194186765
RCA_Supervised,image_segment,(210|19|7),4,0.2,0.7714285714285715,0.796446608946609,0.7678571428571429,0.761094470046083
MMC_Supervised,image_segment,(210|19|7),2,0,0.4380952380952381,0.502673350041771,0.47570694944644526,0.46929362930517954
MMC_Supervised,image_segment,(210|19|7),2,0.1,0.47619047619047616,0.49987798149562856,0.48671160772001104,0.48660446696160975
MMC_Supervised,image_segment,(210|19|7),2,0.2,0.4,0.41362334407447193,0.418040293040293,0.3732370773503016
MMC_Supervised,image_segment,(210|19|7),2,0.3,0.38095238095238093,0.4519777608012902,0.41513696387645965,0.4045633564430557
MMC_Supervised,image_segment,(210|19|7),4,0,0.5714285714285714,0.5052390521425961,0.5660014005602241,0.5249299719887955
MMC_Supervised,image_segment,(210|19|7),4,0.1,0.6,0.6023958068075715,0.600885225885226,0.5882257186605012
MMC_Supervised,image_segment,(210|19|7),4,0.2,0.5428571428571428,0.520609559613319,0.5268889134601208,0.5127742344789062
MMC_Supervised,image_segment,(210|19|7),4,0.3,0.6095238095238096,0.6216374269005848,0.6064768564768565,0.5913200339558574
LSML_Supervised,image_segment,(210|19|7),2,0,0.42857142857142855,0.5238744588744588,0.45189897821476765,0.4515068567571348
LSML_Supervised,image_segment,(210|19|7),2,0.1,0.5238095238095238,0.5737229437229436,0.4970727685013399,0.5060386669142429
LSML_Supervised,image_segment,(210|19|7),2,0.2,0.44761904761904764,0.49981962481962483,0.4631170416884702,0.46611293468436316
LSML_Supervised,image_segment,(210|19|7),2,0.3,0.42857142857142855,0.484849709114415,0.44858553469234586,0.4272338441598404
LSML_Supervised,image_segment,(210|19|7),4,0,0.6571428571428571,0.6947699359464066,0.6800453514739229,0.6831995861003826
LSML_Supervised,image_segment,(210|19|7),4,0.1,0.6666666666666666,0.6199443413729128,0.6588217338217338,0.6305021619307334
LSML_Supervised,image_segment,(210|19|7),4,0.2,0.45714285714285713,0.42233044733044733,0.4941104646987,0.42660209491688195
LSML_Supervised,image_segment,(210|19|7),4,0.3,0.7142857142857143,0.7257142857142858,0.6877574806146234,0.6884544740616703
ITML_Supervised,image_segment,(210|19|7),2,0,0.41904761904761906,0.44470555899127323,0.43274751564225244,0.4096275241786077
ITML_Supervised,image_segment,(210|19|7),2,0.1,0.5047619047619047,0.5886154461784715,0.5297190167933202,0.5060481457540281
ITML_Supervised,image_segment,(210|19|7),2,0.2,0.4,0.4643892339544514,0.4379992556463144,0.42375284266040575
ITML_Supervised,image_segment,(210|19|7),2,0.3,0.4857142857142857,0.5274777853725222,0.4814662707188138,0.48262472698562914
